CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
三门峡,124673-1,253778-1,7,15.42,4.43,52,364
三门峡,124673-1,47444-2,6,17.59,5.45,92,552
三门峡,124673-1,253771-2,3,21.65,6.82,98,294
三门峡,124673-2,15474-130,100,-1.54,1.35,246,24600
三门峡,124673-2,253797-0,100,-0.22,1.57,242,24200
三门峡,124673-2,253820-1,100,3.31,1.94,236,23600
三门峡,124673-2,124694-2,100,0.72,2.98,106,10600
三门峡,124673-2,253797-2,100,2.53,1.65,236,23600
三门峡,124673-2,47443-2,96,2.93,3.45,178,17088
三门峡,124673-2,253786-0,94,3.19,3.66,186,17484
三门峡,124673-2,124812-1,92,3.94,3.66,15785,1452220
三门峡,124673-2,7202-128,91,4.38,3.4,21389,1946399
三门峡,124673-2,124694-1,87,4.77,3.83,88,7656
三门峡,124673-2,124812-0,87,4.92,3.64,12486,1086282
三门峡,124673-2,47459-1,86,4.2,4.5,98,8428
三门峡,124673-2,15310-128,83,4.46,4.74,302,25066
三门峡,124673-2,47444-2,82,4.87,4.43,334,27388
三门峡,124673-2,47459-0,80,5.15,4.61,2204,176320
三门峡,124673-2,124812-2,78,4.74,5.51,370,28860
三门峡,124673-2,15476-128,77,5.37,4.94,35880,2762760
三门峡,124673-2,15583-129,77,3.56,7.42,86,6622
三门峡,124673-2,253901-2,77,5.18,5.12,33844,2605988
三门峡,124673-2,253905-2,76,5.31,5.13,3122,237272
三门峡,124673-2,124673-1,75,4.6,6.41,9898,742350
三门峡,124673-2,253771-0,74,5.26,5.84,2534,187516
三门峡,124673-2,7202-130,70,6.28,5.07,8958,627060
三门峡,124673-2,253819-1,69,6.56,5,6634,457746
三门峡,124673-2,253917-2,68,6.73,4.97,2272,154496
三门峡,124673-2,253934-2,67,7.08,4.39,4180,280060
三门峡,124673-2,124911-0,65,7.03,5.29,590,38350
三门峡,124673-2,47444-1,64,6.86,6.14,68407,4378048
三门峡,124673-2,15513-128,63,7,5.98,50802,3200526
三门峡,124673-2,47443-0,62,7.28,5.65,7892,489304
三门峡,124673-2,15121-128,61,7.31,6.03,7514,458354
三门峡,124673-2,124711-2,61,7.15,6.45,16994,1036634
三门峡,124673-2,124683-2,55,8.23,5.8,1952,107360
三门峡,124673-2,124673-0,55,8.17,6.53,214,11770
三门峡,124673-2,259598-2,55,8.37,5.35,11783,648065
三门峡,124673-2,5691-128,52,8.69,7.31,36016,1872832
三门峡,124673-2,15472-129,51,8.88,5.42,200,10200
三门峡,124673-2,7202-129,51,8.83,6.08,78684,4012884
三门峡,124673-2,253785-1,47,9.22,3.35,64,3008
三门峡,124673-2,15121-129,36,11.87,7.78,1150,41400
三门峡,124673-2,238397-2,34,10.23,3.02,120,4080
三门峡,124673-2,7201-128,31,12.91,7.8,3224,99944
三门峡,124673-2,253806-1,25,13.62,6.8,64,1600
三门峡,124673-2,259778-0,12,15.9,5.91,468,5616
三门峡,124673-2,253917-0,4,20.19,6.43,84,336
三门峡,124673-2,124816-0,0,20.58,4.17,62,0
三门峡,124673-2,253809-2,0,21.6,2.23,126,0
