ASSIGN_ID,EARFCN,SECTOR_ID,SECTOR_NAME,ENODEB_ID,PCI,PSS,SSS,LONGITUDE,LATITUDE,STYLE,OPT_DATETIME
10,38400,253920-1,三门峡义马花园头-HLHF-2,253920,42,0,14,111.88441,34.73732,宏站,2017/1/18 11:13
10,38400,253920-2,三门峡义马花园头-HLHF-3,253920,44,2,14,111.88441,34.73732,宏站,2017/1/18 11:13
10,38400,253921-0,三门峡义马千秋路广告牌-HLHF-1,253921,54,0,18,111.85201,34.75131,宏站,2017/1/18 11:13
10,38400,253921-1,三门峡义马千秋路广告牌-HLHF-2,253921,55,1,18,111.85201,34.75131,宏站,2017/1/18 11:13
10,38400,253921-2,三门峡义马千秋路广告牌-HLHF-3,253921,56,2,18,111.85201,34.75131,宏站,2017/1/18 11:13
10,38400,253922-0,三门峡义马千秋煤矿-HLHF-1,253922,66,0,22,111.87801,34.73161,宏站,2017/1/18 11:13
10,38400,253922-1,三门峡义马千秋煤矿-HLHF-2,253922,68,2,22,111.87801,34.73161,宏站,2017/1/18 11:13
10,38400,253922-2,三门峡义马千秋煤矿-HLHF-3,253922,67,1,22,111.87801,34.73161,宏站,2017/1/18 11:13
10,38400,253923-0,三门峡义马荣华宾馆-HLHF-1,253923,71,2,23,111.87401,34.74711,宏站,2017/1/18 11:13
10,38400,253923-1,三门峡义马荣华宾馆-HLHF-2,253923,70,1,23,111.87401,34.74711,宏站,2017/1/18 11:13
10,38400,253923-2,三门峡义马荣华宾馆-HLHF-3,253923,69,0,23,111.87401,34.74711,宏站,2017/1/18 11:13
10,38400,253924-0,三门峡义马生态公园-HLHF-1,253924,65,2,21,111.881082,34.744533,宏站,2017/1/18 11:13
10,38400,253924-1,三门峡义马生态公园-HLHF-2,253924,64,1,21,111.881082,34.744533,宏站,2017/1/18 11:13
10,38400,253924-2,三门峡义马生态公园-HLHF-3,253924,63,0,21,111.881082,34.744533,宏站,2017/1/18 11:13
10,38400,253926-0,三门峡义马水利局-HLHF-1,253926,57,0,19,111.86887,34.74381,宏站,2017/1/18 11:13
10,38400,253926-1,三门峡义马水利局-HLHF-2,253926,59,2,19,111.86887,34.74381,宏站,2017/1/18 11:13
10,38400,253926-2,三门峡义马水利局-HLHF-3,253926,58,1,19,111.86887,34.74381,宏站,2017/1/18 11:13
10,38400,253927-0,三门峡义马体育公园美化塔-HLHF-1,253927,62,2,20,111.84949,34.75623,宏站,2017/1/18 11:13
10,38400,253927-1,三门峡义马体育公园美化塔-HLHF-2,253927,61,1,20,111.84949,34.75623,宏站,2017/1/18 11:13
10,38400,253927-2,三门峡义马体育公园美化塔-HLHF-3,253927,60,0,20,111.84949,34.75623,宏站,2017/1/18 11:13
10,38400,253928-0,三门峡义马文武学校-HLHF-1,253928,38,2,12,111.85587,34.74035,宏站,2017/1/18 11:13
10,38400,253928-1,三门峡义马文武学校-HLHF-2,253928,37,1,12,111.85587,34.74035,宏站,2017/1/18 11:13
10,38400,253928-2,三门峡义马文武学校-HLHF-3,253928,36,0,12,111.85587,34.74035,宏站,2017/1/18 11:13
10,38400,253929-0,三门峡义马五一宾馆-HLHF-1,253929,12,0,4,111.87148,34.74167,宏站,2017/1/18 11:13
10,38400,253929-1,三门峡义马五一宾馆-HLHF-2,253929,13,1,4,111.87148,34.74167,宏站,2017/1/18 11:13
10,38400,253929-2,三门峡义马五一宾馆-HLHF-3,253929,14,2,4,111.87148,34.74167,宏站,2017/1/18 11:13
10,38400,253930-128,三门峡义马水厂-HLHF-1,253930,16,1,5,111.84256,34.76327,宏站,2017/1/18 11:13
10,38400,253930-129,三门峡义马水厂-HLHF-2,253930,15,0,5,111.84256,34.76327,宏站,2017/1/18 11:13
10,38400,253930-130,三门峡义马水厂-HLHF-3,253930,17,2,5,111.84256,34.76327,宏站,2017/1/18 11:13
10,38400,253931-0,三门峡义马西工区-HLHF-1,253931,20,2,6,111.84401,34.75151,宏站,2017/1/18 11:13
10,38400,253931-1,三门峡义马西工区-HLHF-2,253931,19,1,6,111.84401,34.75151,宏站,2017/1/18 11:13
10,38400,253931-2,三门峡义马西工区-HLHF-3,253931,18,0,6,111.84401,34.75151,宏站,2017/1/18 11:13
10,38400,253932-0,三门峡义马西郭庄-HLHF-1,253932,8,2,2,111.86111,34.76631,宏站,2017/1/18 11:13
10,38400,253932-1,三门峡义马西郭庄-HLHF-2,253932,7,1,2,111.86111,34.76631,宏站,2017/1/18 11:13
10,38400,253932-2,三门峡义马西郭庄-HLHF-3,253932,6,0,2,111.86111,34.76631,宏站,2017/1/18 11:13
10,38400,253933-0,三门峡义马西裴村-HLHF-1,253933,11,2,3,111.86101,34.74561,宏站,2017/1/18 11:13
10,38400,253933-1,三门峡义马西裴村-HLHF-2,253933,9,0,3,111.86101,34.74561,宏站,2017/1/18 11:13
10,38400,253933-2,三门峡义马西裴村-HLHF-3,253933,10,1,3,111.86101,34.74561,宏站,2017/1/18 11:13
10,38400,253934-0,三门峡义马义渑快速通道美化塔-HLHF-1,253934,30,0,10,111.86602,34.76258,宏站,2017/1/18 11:13
10,38400,253934-1,三门峡义马义渑快速通道美化塔-HLHF-2,253934,31,1,10,111.86602,34.76258,宏站,2017/1/18 11:13
10,38400,253934-2,三门峡义马义渑快速通道美化塔-HLHF-3,253934,32,2,10,111.86602,34.76258,宏站,2017/1/18 11:13
10,38400,253935-0,三门峡义马银杏公园-HLHF-1,253935,34,1,11,111.86706,34.75125,宏站,2017/1/18 11:13
10,38400,253935-1,三门峡义马银杏公园-HLHF-2,253935,33,0,11,111.86706,34.75125,宏站,2017/1/18 11:13
10,38400,253935-2,三门峡义马银杏公园-HLHF-3,253935,35,2,11,111.86706,34.75125,宏站,2017/1/18 11:13
